ID;i;j;ZONE_ID
958001-204252;958001;204252;958001
958002-204323;958002;204323;958002
958003-204174;958003;204174;958003
958004-204127;958004;204127;958004
958005-95001;958005;95001;958005
958006-204600;958006;204600;958006
958007-204225;958007;204225;958007
958008-204218;958008;204218;958008
958009-204405;958009;204405;958009
958010-204405;958010;204405;958010
958012-204405;958012;204405;958012
958013-204555;958013;204555;958013
958014-204300;958014;204300;958014
958015-204275;958015;204275;958015
958016-204277;958016;204277;958016
958017-208387;958017;208387;958017
958018-204289;958018;204289;958018
958019-204244;958019;204244;958019
958020-204521;958020;204521;958020
958021-203886;958021;203886;958021
958021-204034;958021;204034;958021
958022-204300;958022;204300;958022
958023-208405;958023;208405;958023
958024-204246;958024;204246;958024
958025-204470;958025;204470;958025
958027-204339;958027;204339;958027
958029-204318;958029;204318;958029
958031-204311;958031;204311;958031
958032-204308;958032;204308;958032
958033-204303;958033;204303;958033
958034-205467;958034;205467;958034
958034-205647;958034;205647;958034
958035-204325;958035;204325;958035
958037-204370;958037;204370;958037
958038-204330;958038;204330;958038
958039-95135;958039;95135;958039
958039-204354;958039;204354;958039
958041-204252;958041;204252;958041
958042-204326;958042;204326;958042
958043-204362;958043;204362;958043
958044-204272;958044;204272;958044
958045-204323;958045;204323;958045
958047-205784;958047;205784;958047
958048-204769;958048;204769;958048
958051-204440;958051;204440;958051
958052-205402;958052;205402;958052
958053-204354;958053;204354;958053
958054-204675;958054;204675;958054
958055-208387;958055;208387;958055
958056-204290;958056;204290;958056
958057-204923;958057;204923;958057
958058-204290;958058;204290;958058
958058-204300;958058;204300;958058
958059-204572;958059;204572;958059
958060-204405;958060;204405;958060
958062-204164;958062;204164;958062
958063-204215;958063;204215;958063
958064-204215;958064;204215;958064
958065-204247;958065;204247;958065
958066-204325;958066;204325;958066
958066-204354;958066;204354;958066
958067-204610;958067;204610;958067
958068-204628;958068;204628;958068
958069-204652;958069;204652;958069
958070-204334;958070;204334;958070
958071-204320;958071;204320;958071
958072-95135;958072;95135;958072
958073-95132;958073;95132;958073
958073-95133;958073;95133;958073
958074-204467;958074;204467;958074
958075-204504;958075;204504;958075
958081-204506;958081;204506;958081
958082-95137;958082;95137;958082
958083-204508;958083;204508;958083
958084-204289;958084;204289;958084
958085-204151;958085;204151;958085
958086-204075;958086;204075;958086
958087-204172;958087;204172;958087
958088-206253;958088;206253;958088
958089-204950;958089;204950;958089
958090-205097;958090;205097;958090
958091-204488;958091;204488;958091
958092-204209;958092;204209;958092
958093-95143;958093;95143;958093
958094-204186;958094;204186;958094
958095-204581;958095;204581;958095
958096-204352;958096;204352;958096
95001-958005;95001;958005;958005
95132-958073;95132;958073;958073
95133-958073;95133;958073;958073
95135-958039;95135;958039;958039
95135-958072;95135;958072;958072
95137-958082;95137;958082;958082
95143-958093;95143;958093;958093
203886-958021;203886;958021;958021
204034-958021;204034;958021;958021
204075-958086;204075;958086;958086
204127-958004;204127;958004;958004
204151-958085;204151;958085;958085
204164-958062;204164;958062;958062
204172-958087;204172;958087;958087
204174-958003;204174;958003;958003
204186-958094;204186;958094;958094
204209-958092;204209;958092;958092
204215-958063;204215;958063;958063
204215-958064;204215;958064;958064
204218-958008;204218;958008;958008
204225-958007;204225;958007;958007
204244-958019;204244;958019;958019
204246-958024;204246;958024;958024
204247-958065;204247;958065;958065
204252-958001;204252;958001;958001
204252-958041;204252;958041;958041
204272-958044;204272;958044;958044
204275-958015;204275;958015;958015
204277-958016;204277;958016;958016
204289-958018;204289;958018;958018
204289-958084;204289;958084;958084
204290-958056;204290;958056;958056
204290-958058;204290;958058;958058
204300-958014;204300;958014;958014
204300-958022;204300;958022;958022
204300-958058;204300;958058;958058
204303-958033;204303;958033;958033
204308-958032;204308;958032;958032
204311-958031;204311;958031;958031
204318-958029;204318;958029;958029
204320-958071;204320;958071;958071
204323-958002;204323;958002;958002
204323-958045;204323;958045;958045
204325-958035;204325;958035;958035
204325-958066;204325;958066;958066
204326-958042;204326;958042;958042
204330-958038;204330;958038;958038
204334-958070;204334;958070;958070
204339-958027;204339;958027;958027
204352-958096;204352;958096;958096
204354-958039;204354;958039;958039
204354-958053;204354;958053;958053
204354-958066;204354;958066;958066
204362-958043;204362;958043;958043
204370-958037;204370;958037;958037
204405-958009;204405;958009;958009
204405-958010;204405;958010;958010
204405-958012;204405;958012;958012
204405-958060;204405;958060;958060
204440-958051;204440;958051;958051
204467-958074;204467;958074;958074
204470-958025;204470;958025;958025
204488-958091;204488;958091;958091
204504-958075;204504;958075;958075
204506-958081;204506;958081;958081
204508-958083;204508;958083;958083
204521-958020;204521;958020;958020
204555-958013;204555;958013;958013
204572-958059;204572;958059;958059
204581-958095;204581;958095;958095
204600-958006;204600;958006;958006
204610-958067;204610;958067;958067
204628-958068;204628;958068;958068
204652-958069;204652;958069;958069
204675-958054;204675;958054;958054
204769-958048;204769;958048;958048
204923-958057;204923;958057;958057
204950-958089;204950;958089;958089
205097-958090;205097;958090;958090
205402-958052;205402;958052;958052
205467-958034;205467;958034;958034
205647-958034;205647;958034;958034
205784-958047;205784;958047;958047
206253-958088;206253;958088;958088
208387-958017;208387;958017;958017
208387-958055;208387;958055;958055
208405-958023;208405;958023;958023
