id	i	j
95103-204731	95103	204731
203770-203772	203770	203772
203772-203770	203772	203770
203842-203858	203842	203858
203858-203842	203858	203842
204020-204029	204020	204029
204029-204020	204029	204020
204258-204280	204258	204280
204280-204258	204280	204258
204344-204350	204344	204350
204350-204344	204350	204344
204350-204383	204350	204383
204383-204350	204383	204350
204616-204728	204616	204728
204694-204705	204694	204705
204705-204694	204705	204694
204728-204616	204728	204616
204731-95103	204731	95103
205043-205086	205043	205086
205086-205043	205086	205043
205173-205216	205173	205216
205179-205197	205179	205197
205197-205179	205197	205179
205216-205173	205216	205173
205232-205377	205232	205377
205377-205232	205377	205232
205377-205414	205377	205414
205414-205377	205414	205377
205612-205720	205612	205720
205720-205612	205720	205612
205827-205859	205827	205859
205859-205827	205859	205827
205954-205957	205954	205957
205957-205954	205957	205954
205978-205981	205978	205981
205981-205978	205981	205978
206033-206073	206033	206073
206073-206033	206073	206033
206083-206092	206083	206092
206092-206083	206092	206083
206283-206315	206283	206315
206315-206283	206315	206283
206338-206350	206338	206350
206350-206338	206350	206338
